id	nome	nome_curto	categoria	obstaculo	tipo	descricao	variacoes	nivel	tags	exp_base
85	Melon	MEL	Air Trick	Nenhum	Invert	Front hand heelside edge between the bindings			air	70
86	Mute	MUTE	Air Trick	Nenhum	Invert	Front hand toeside edge between the bindings			air	70
87	Backside	METH	Air Trick	Nenhum	Invert	tweak			air	70
88	Nose	NOSE	Air Trick	Nenhum	Invert	Front hand, grab nose edge of the board			air	70
89	Slob	SL	Air Trick	Nenhum	Invert	Front hand toeside edge between front foot and the nose			air	70
90	Nuclear	NUKE	Air Trick	Nenhum	Invert	Back hand, heelside edge between the front binding and the nose			air	70
91	The	SB	Air Trick	Nenhum	Invert	board			air	70
92	Facing	BB	Air Trick	Nenhum	Invert	up the line			air	70
93	Up	FL	Air Trick	Nenhum	Invert	the line			air	70
94	Away	BL	Air Trick	Nenhum	Invert	from the line			air	70
95	Facing	FB	Air Trick	Nenhum	Invert	away from the line			air	70
96	Gap	GAP	Air Trick	Nenhum	Invert	A jump performed from rail to the same rail			air	70
